Sale_Price,Gr_Liv_Area,Garage_Type,Garage_Cars,Garage_Area,Street,Utilities,Pool_Area,Neighborhood,Screen_Porch,Overall_Qual,Lot_Area,Lot_Frontage,MS_SubClass,Misc_Val,Open_Porch_SF,TotRms_AbvGrd,First_Flr_SF,Second_Flr_SF,Year_Built
319900,1752,Attchd,2,576,Pave,AllPub,0,Northridge_Heights,0,Excellent,7658,61,One_Story_PUD_1946_and_Newer,0,82,6,1752,0,2005
185088,NA,BuiltIn,2,433,Pave,AllPub,0,Gilbert,0,Good,8577,63,Two_Story_1946_and_Newer,0,48,7,847,886,2004
180000,NA,BuiltIn,2,400,Pave,AllPub,0,Gilbert,0,Good,7750,0,Split_or_Multilevel,0,0,7,774,656,2000
333168,2599,BuiltIn,3,779,Pave,AllPub,0,Northridge,0,Excellent,14774,108,Two_Story_1946_and_Newer,0,30,10,1422,1177,1999
260400,1720,Attchd,2,527,Pave,AllPub,0,Northridge,0,Good,10593,59,One_Story_1946_and_Newer_All_Styles,0,56,7,1720,0,1996
221000,1839,Attchd,2,486,Pave,AllPub,0,Northridge,0,Good,16770,58,Two_Story_1946_and_Newer,0,81,7,1195,644,1998
254900,1947,Attchd,2,678,Pave,AllPub,0,Somerset,0,Good,12552,100,Two_Story_1946_and_Newer,0,136,8,991,956,2004
152000,1097,Attchd,2,480,Pave,AllPub,0,Sawyer_West,0,Above_Average,9672,81,One_Story_1946_and_Newer_All_Styles,0,0,6,1097,0,1984
67500,1012,Detchd,1,429,Pave,AllPub,0,Sawyer_West,0,Average,9800,70,One_Story_1945_and_Older,0,0,5,1012,0,1920
112000,1902,Attchd,2,539,Pave,AllPub,0,Sawyer,0,Above_Average,8930,68,Duplex_All_Styles_and_Ages,0,0,8,1318,584,1978
138500,894,Detchd,1,336,Pave,AllPub,0,Sawyer,0,Average,8450,65,One_Story_1946_and_Newer_All_Styles,0,144,5,894,0,1965
122000,900,Detchd,1,280,Pave,AllPub,0,Sawyer,0,Average,9819,0,One_Story_1946_and_Newer_All_Styles,0,0,5,900,0,1967
169000,1494,Attchd,2,461,Pave,AllPub,0,Sawyer,0,Above_Average,15410,39,One_Story_1946_and_Newer_All_Styles,0,0,7,1494,0,1974
152000,1236,Detchd,2,480,Pave,AllPub,0,Somerset,0,Above_Average,2544,24,Two_Story_PUD_1946_and_Newer,0,166,4,600,636,2005
155000,1416,Detchd,2,484,Pave,AllPub,0,Somerset,0,Good,2572,24,Two_Story_PUD_1946_and_Newer,0,44,6,696,720,1999
206000,1226,Attchd,2,484,Pave,AllPub,0,Greens,0,Very_Good,3880,40,One_Story_PUD_1946_and_Newer,0,78,4,1226,0,1978
212500,1891,Attchd,2,678,Pave,AllPub,0,Northwest_Ames,0,Above_Average,18837,0,One_and_Half_Story_Finished_All_Ages,0,69,7,1287,604,1978
197500,1381,Attchd,2,676,Pave,AllPub,0,Northwest_Ames,0,Above_Average,9360,78,One_Story_1946_and_Newer_All_Styles,0,0,5,1381,0,1972
142250,1232,Attchd,2,490,Pave,AllPub,0,North_Ames,0,Average,9600,80,One_Story_1946_and_Newer_All_Styles,0,224,6,1232,0,1966
143000,1328,Attchd,2,528,Pave,AllPub,0,Northwest_Ames,0,Above_Average,9790,0,One_Story_1946_and_Newer_All_Styles,0,26,6,1328,0,1963
128950,1225,No_Garage,0,0,Pave,AllPub,0,North_Ames,0,Below_Average,9320,77,One_Story_1946_and_Newer_All_Styles,400,0,6,1225,0,1959
180000,2207,Attchd,2,576,Pave,AllPub,0,North_Ames,0,Good,19900,0,One_Story_1946_and_Newer_All_Styles,0,0,7,2207,0,1970
135000,1604,Attchd,2,576,Pave,AllPub,0,North_Ames,0,Average,8267,70,Duplex_All_Styles_and_Ages,0,0,8,1604,0,1958
165500,1700,Attchd,2,447,Pave,AllPub,0,North_Ames,0,Average,10552,70,One_Story_1946_and_Newer_All_Styles,0,38,6,1700,0,1959
108000,1337,Attchd,1,263,Pave,AllPub,0,North_Ames,0,Below_Average,8382,60,One_and_Half_Story_Finished_All_Ages,0,0,5,832,505,1956
135000,NA,Detchd,1,318,Pave,AllPub,0,North_Ames,0,Average,10950,60,One_Story_1946_and_Newer_All_Styles,0,0,4,1064,0,1952
119000,988,Attchd,1,264,Pave,AllPub,0,North_Ames,0,Average,13587,70,Two_Family_conversion_All_Styles_and_Ages,0,0,5,988,0,1958
109000,1057,Detchd,1,246,Pave,AllPub,0,North_Ames,0,Average,7922,68,One_Story_1946_and_Newer_All_Styles,0,52,5,1057,0,1953
105000,985,Detchd,2,676,Pave,AllPub,0,North_Ames,0,Below_Average,7898,65,One_Story_1945_and_Older,0,0,4,985,0,1920
107500,827,Detchd,1,392,Pave,AllPub,0,North_Ames,0,Average,7200,60,One_Story_1946_and_Newer_All_Styles,0,0,5,827,0,1955
144900,1086,Attchd,2,490,Pave,AllPub,0,North_Ames,0,Average,10200,85,One_Story_1946_and_Newer_All_Styles,0,0,6,1086,0,1954
144000,1056,Detchd,2,576,Pave,AllPub,0,Old_Town,0,Above_Average,6979,64,Duplex_All_Styles_and_Ages,600,56,4,1056,0,1980
132000,1224,Detchd,1,280,Pave,AllPub,0,North_Ames,0,Above_Average,8064,60,One_and_Half_Story_Finished_All_Ages,0,0,5,816,408,1948
134800,NA,Detchd,2,576,Pave,AllPub,0,North_Ames,0,Average,7200,60,One_Story_1946_and_Newer_All_Styles,0,32,5,900,0,1951
160000,NA,Attchd,2,440,Pave,AllPub,0,North_Ames,385,Above_Average,10000,87,One_Story_1946_and_Newer_All_Styles,0,0,5,1116,0,1962
148000,1175,Detchd,2,484,Pave,AllPub,0,North_Ames,0,Average,7635,81,One_Story_1946_and_Newer_All_Styles,0,0,6,1175,0,1960
192000,1395,Attchd,2,440,Pave,AllPub,0,North_Ames,240,Above_Average,9760,80,One_Story_1946_and_Newer_All_Styles,0,0,7,1395,0,1963
155000,1839,Attchd,2,442,Pave,AllPub,0,North_Ames,0,Above_Average,7700,70,Two_Story_1946_and_Newer,0,124,7,1051,788,1966
100000,NA,Detchd,1,315,Pave,AllPub,0,Old_Town,0,Average,8239,0,One_and_Half_Story_Finished_All_Ages,0,0,6,1060,185,1920
149700,NA,Attchd,2,923,Pave,AllPub,0,Old_Town,0,Above_Average,7407,90,One_Story_1946_and_Newer_All_Styles,0,158,6,1236,0,1957
122500,2290,Detchd,2,560,Pave,AllPub,0,Old_Town,0,Below_Average,11340,60,Two_Family_conversion_All_Styles_and_Ages,0,0,11,1246,1044,1885
209500,2068,Detchd,1,315,Pave,AllPub,0,Brookside,0,Good,7793,0,Two_and_Half_Story_All_Ages,0,0,8,1160,908,1922
132000,1453,Detchd,1,240,Pave,AllPub,0,Brookside,148,Average,6360,53,One_and_Half_Story_Finished_All_Ages,0,0,7,955,498,1942
139900,NA,Detchd,1,312,Pave,AllPub,0,Brookside,0,Above_Average,6000,50,One_and_Half_Story_Finished_All_Ages,0,0,6,780,636,1948
138400,1536,Detchd,2,480,Pave,AllPub,0,Brookside,0,Average,6240,52,One_and_Half_Story_Finished_All_Ages,0,10,7,928,608,1930
93369,1884,No_Garage,0,0,Pave,AllPub,0,South_and_West_of_Iowa_State_University,0,Below_Average,6449,0,Two_Story_1945_and_Older,0,0,7,942,942,1907
94000,1020,No_Garage,0,0,Pave,AllPub,0,Sawyer,0,Average,6342,54,One_and_Half_Story_Finished_All_Ages,0,0,6,780,240,1875
136500,1768,No_Garage,0,0,Pave,AllPub,0,Sawyer,0,Below_Average,10778,72,Duplex_All_Styles_and_Ages,0,0,8,1768,0,1968
137250,864,Detchd,1,280,Pave,AllPub,0,Sawyer,0,Average,7832,65,One_Story_1946_and_Newer_All_Styles,0,0,4,864,0,1968
163000,1440,Attchd,2,480,Pave,AllPub,0,Sawyer,0,Average,11227,86,Two_Story_1946_and_Newer,0,38,7,720,720,1968
270000,1483,Attchd,2,690,Pave,AllPub,0,Clear_Creek,0,Good,20062,0,One_Story_1946_and_Newer_All_Styles,0,0,4,1483,0,1977
128000,1067,Attchd,2,436,Pave,AllPub,0,Sawyer,0,Below_Average,9600,60,One_Story_1946_and_Newer_All_Styles,0,0,4,1067,0,1950
260000,1524,Attchd,2,586,Pave,AllPub,0,Clear_Creek,0,Good,23595,0,One_Story_with_Finished_Attic_All_Ages,0,0,4,1332,192,1979
83000,835,Basment,1,366,Pave,AllPub,0,Edwards,0,Average,10625,85,One_Story_1945_and_Older,400,0,5,835,0,1920
129000,1144,Attchd,1,596,Pave,AllPub,0,Edwards,0,Average,9571,68,One_Story_1946_and_Newer_All_Styles,0,0,6,1144,0,1956
128000,1172,Attchd,1,366,Pave,AllPub,0,Edwards,0,Average,9525,75,One_Story_1946_and_Newer_All_Styles,0,0,5,1172,0,1954
320000,3222,Attchd,3,594,Pave,AllPub,0,Sawyer_West,0,Good,12376,90,Two_Story_1946_and_Newer,0,0,11,1699,1523,1990
138500,1445,Detchd,2,484,Pave,AllPub,0,Sawyer_West,0,Above_Average,14235,82,One_and_Half_Story_Finished_All_Ages,0,59,6,831,614,1900
155000,1052,Attchd,2,440,Pave,AllPub,0,Clear_Creek,0,Above_Average,8816,80,Split_or_Multilevel,0,0,6,1052,0,1971
191000,1692,Attchd,2,513,Pave,AllPub,0,College_Creek,0,Good,9337,0,Two_Story_1946_and_Newer,0,39,8,892,800,1997
161750,1392,Attchd,1,299,Pave,AllPub,0,College_Creek,0,Above_Average,10900,0,Two_Story_1946_and_Newer,450,36,6,689,703,1977
128200,NA,Attchd,1,308,Pave,AllPub,0,College_Creek,0,Average,10650,75,One_Story_1946_and_Newer_All_Styles,0,0,5,894,0,1976
143750,NA,Attchd,2,420,Pave,AllPub,0,College_Creek,0,Above_Average,4435,0,One_Story_PUD_1946_and_Newer,0,0,4,848,0,2003
143000,848,Attchd,2,420,Pave,AllPub,0,College_Creek,0,Above_Average,4426,0,One_Story_PUD_1946_and_Newer,0,0,3,848,0,2004
144000,1196,Attchd,1,336,Pave,AllPub,0,Edwards,0,Average,10044,60,One_Story_1946_and_Newer_All_Styles,0,0,6,1196,0,1968
64000,1120,Detchd,2,480,Pave,AllPub,0,Edwards,160,Below_Average,11792,89,One_and_Half_Story_Finished_All_Ages,0,0,5,792,328,1948
128000,1647,Detchd,1,216,Pave,AllPub,0,South_and_West_of_Iowa_State_University,0,Above_Average,6858,66,Two_Story_1945_and_Older,0,66,6,841,806,1915
100000,1666,No_Garage,0,0,Pave,AllPub,0,South_and_West_of_Iowa_State_University,0,Average,9839,51,One_and_Half_Story_Finished_All_Ages,0,156,7,894,772,1931
257500,2133,Attchd,1,312,Pave,AllPub,0,Crawford,0,Good,10452,78,One_and_Half_Story_Finished_All_Ages,0,0,8,1225,908,1941
110000,NA,Detchd,1,625,Pave,AllPub,0,Iowa_DOT_and_Rail_Road,200,Above_Average,9140,50,One_and_Half_Story_Finished_All_Ages,0,56,5,727,380,1921
68400,1128,Detchd,2,528,Pave,AllPub,0,Iowa_DOT_and_Rail_Road,0,Below_Average,7500,60,One_and_Half_Story_Finished_All_Ages,0,0,6,698,430,1920
50138,952,Detchd,1,330,Grvl,AllPub,0,Iowa_DOT_and_Rail_Road,0,Below_Average,8712,66,One_Story_1945_and_Older,0,0,5,952,0,1896
170000,2048,More_Than_Two_Types,2,776,Pave,AllPub,0,Mitchell,0,Above_Average,12760,0,Duplex_All_Styles_and_Ages,0,0,9,2048,0,1976
269500,NA,BuiltIn,3,680,Pave,AllPub,0,Timberland,0,Very_Good,12003,92,Two_Story_1946_and_Newer,0,75,8,774,1194,2009
214900,1894,BuiltIn,2,510,Pave,AllPub,0,Timberland,0,Good,11316,80,Two_Story_1946_and_Newer,0,40,8,824,1070,2002
166500,1344,Attchd,2,686,Pave,AllPub,0,Mitchell,0,Average,11875,0,One_Story_1946_and_Newer_All_Styles,0,0,7,1344,0,1999
85000,1112,Attchd,1,336,Pave,AllPub,0,Meadow_Village,0,Average,2592,36,Two_Story_PUD_1946_and_Newer,0,0,4,536,576,1976
75500,630,No_Garage,0,0,Pave,AllPub,0,Meadow_Village,0,Below_Average,1491,21,PUD_Multilevel_Split_Level_Foyer,0,24,3,630,0,1972
88250,1092,No_Garage,0,0,Pave,AllPub,0,Meadow_Village,0,Below_Average,1900,21,Two_Story_PUD_1946_and_Newer,0,0,5,546,546,1970
130000,874,Detchd,1,352,Pave,AllPub,0,Mitchell,0,Average,6953,50,One_Story_1946_and_Newer_All_Styles,0,0,5,874,0,1971
157900,1188,Attchd,1,312,Pave,AllPub,0,Mitchell,0,Average,26142,0,One_Story_1946_and_Newer_All_Styles,0,39,6,1188,0,1962
161000,1479,Attchd,1,275,Pave,AllPub,0,Mitchell,0,Average,10544,68,One_and_Half_Story_Finished_All_Ages,0,0,8,864,615,1969
285000,1803,Attchd,2,482,Pave,AllPub,0,Mitchell,0,Very_Good,9892,76,One_Story_1946_and_Newer_All_Styles,0,64,6,1803,0,1994
270000,2283,BuiltIn,3,632,Pave,AllPub,0,Gilbert,0,Very_Good,11792,0,Two_Story_1946_and_Newer,0,46,9,1008,1275,2003
239500,1734,Attchd,2,528,Pave,AllPub,0,Stone_Brook,0,Very_Good,8013,57,One_Story_PUD_1946_and_Newer,0,50,6,1734,0,1995
191000,1636,Attchd,2,440,Pave,AllPub,0,Gilbert,0,Above_Average,7500,60,Two_Story_1946_and_Newer,0,84,7,952,684,1998
185000,1470,BuiltIn,2,420,Pave,AllPub,0,Gilbert,0,Above_Average,9765,0,Two_Story_1946_and_Newer,480,63,6,680,790,1993
166000,1190,Attchd,2,430,Pave,AllPub,0,Gilbert,0,Above_Average,7250,58,One_Story_1946_and_Newer_All_Styles,0,21,6,1190,0,1993
178000,1593,BuiltIn,2,389,Pave,AllPub,0,Gilbert,0,Above_Average,9636,0,Two_Story_1946_and_Newer,0,40,7,808,785,1992
225000,1983,Attchd,2,490,Pave,AllPub,0,Gilbert,0,Good,10762,0,Two_Story_1946_and_Newer,0,0,9,1005,978,1999
260000,1530,Attchd,2,430,Pave,AllPub,0,Stone_Brook,0,Good,16158,124,One_Story_1946_and_Newer_All_Styles,0,36,7,1530,0,2005
215000,1602,Attchd,2,529,Pave,AllPub,0,Northwest_Ames,0,Above_Average,16635,0,One_Story_1946_and_Newer_All_Styles,0,0,8,1602,0,1977
154000,2050,Attchd,2,529,Pave,AllPub,0,Northwest_Ames,0,Good,13250,0,Two_Story_1946_and_Newer,0,192,8,1154,896,1978
278000,2524,Attchd,2,542,Pave,AllPub,0,Northwest_Ames,0,Very_Good,9600,80,One_Story_1946_and_Newer_All_Styles,0,120,9,2524,0,1981
220000,1874,Attchd,2,588,Pave,AllPub,0,Somerset,0,Very_Good,7500,0,Two_Story_1946_and_Newer,0,134,7,1058,816,2000
213000,1621,Attchd,2,478,Pave,AllPub,0,Northwest_Ames,490,Average,9373,0,One_Story_1946_and_Newer_All_Styles,0,0,7,1621,0,1975
120500,864,Detchd,2,660,Pave,AllPub,0,North_Ames,0,Below_Average,6960,60,One_Story_1946_and_Newer_All_Styles,500,0,5,864,0,1970
130000,864,Detchd,2,576,Pave,AllPub,0,North_Ames,0,Below_Average,9000,60,One_Story_1946_and_Newer_All_Styles,0,0,5,864,0,1971
125000,NA,Attchd,2,440,Pave,AllPub,0,Briardale,0,Average,2368,24,Two_Story_PUD_1946_and_Newer,0,36,7,765,600,1970
137900,1456,Attchd,2,440,Pave,AllPub,0,Northpark_Villa,0,Above_Average,2349,24,Two_Story_PUD_1946_and_Newer,0,28,6,855,601,1977
100000,NA,Attchd,1,288,Pave,AllPub,0,North_Ames,0,Average,7150,65,One_Story_1946_and_Newer_All_Styles,0,0,5,892,0,1967
337500,1718,Attchd,3,786,Pave,AllPub,0,Northridge_Heights,0,Very_Excellent,12456,96,One_Story_1946_and_Newer_All_Styles,0,48,7,1718,0,2006
485000,3140,BuiltIn,3,820,Pave,AllPub,0,Northridge_Heights,0,Excellent,13518,104,Two_Story_1946_and_Newer,0,78,11,1966,1174,2008
256300,1600,Attchd,3,890,Pave,AllPub,0,Northridge_Heights,0,Very_Good,14230,110,One_Story_1946_and_Newer_All_Styles,0,56,7,1600,0,2007
335000,2184,Attchd,3,836,Pave,AllPub,0,Northridge_Heights,0,Excellent,11308,96,Two_Story_1946_and_Newer,0,102,10,1130,1054,2008
610000,2674,Attchd,3,762,Pave,AllPub,0,Northridge_Heights,0,Very_Excellent,13693,105,One_Story_1946_and_Newer_All_Styles,0,50,8,2674,0,2007
274900,1713,Attchd,3,856,Pave,AllPub,0,Northridge_Heights,170,Very_Good,9591,76,One_Story_1946_and_Newer_All_Styles,0,26,7,1713,0,2004
300000,1531,Attchd,3,700,Pave,AllPub,0,Northridge_Heights,0,Excellent,10872,77,One_Story_1946_and_Newer_All_Styles,0,52,6,1531,0,2006
280000,1836,Attchd,3,862,Pave,AllPub,0,Northridge_Heights,0,Very_Good,11362,107,One_Story_1946_and_Newer_All_Styles,0,185,7,1836,0,2004
445000,2452,Attchd,3,886,Pave,AllPub,0,Northridge_Heights,0,Excellent,15274,110,One_Story_1946_and_Newer_All_Styles,0,116,10,2452,0,2003
290000,NA,BuiltIn,3,730,Pave,AllPub,0,Northridge_Heights,0,Very_Good,13262,96,Two_Story_1946_and_Newer,0,40,10,1105,1295,2003
196000,1306,Attchd,2,624,Pave,AllPub,0,Northridge_Heights,0,Above_Average,5381,34,One_Story_PUD_1946_and_Newer,0,63,5,1306,0,2005
174000,1560,BuiltIn,2,400,Pave,AllPub,0,Gilbert,0,Above_Average,11911,122,Two_Story_1946_and_Newer,0,38,6,684,876,2005
174000,1555,Attchd,3,660,Pave,AllPub,0,Bloomington_Heights,0,Good,3684,53,One_Story_PUD_1946_and_Newer,0,20,7,1555,0,2007
175900,1569,Attchd,3,660,Pave,AllPub,0,Bloomington_Heights,0,Good,3635,51,One_Story_PUD_1946_and_Newer,0,20,7,1569,0,2007
189500,1630,BuiltIn,2,436,Pave,AllPub,0,Gilbert,0,Good,7984,62,Two_Story_1946_and_Newer,0,48,7,868,762,2004
257500,2004,BuiltIn,3,644,Pave,AllPub,0,Gilbert,0,Very_Good,12891,0,Two_Story_1946_and_Newer,0,48,8,878,1126,2002
179000,1800,Attchd,2,463,Pave,AllPub,0,Gilbert,0,Above_Average,8123,60,Two_Story_1946_and_Newer,0,63,7,1007,793,2000
156000,NA,BuiltIn,2,400,Pave,AllPub,0,Gilbert,0,Good,7750,62,Split_or_Multilevel,0,0,7,774,656,1999
181000,NA,BuiltIn,2,502,Pave,AllPub,0,Gilbert,0,Above_Average,24682,0,Two_Story_1946_and_Newer,0,103,7,892,783,1999
337000,2365,Attchd,3,856,Pave,AllPub,0,Northridge,180,Very_Good,9430,82,Two_Story_1946_and_Newer,0,128,8,1268,1097,1999
403000,NA,Attchd,3,810,Pave,AllPub,0,Northridge,0,Very_Good,15138,174,Two_Story_1946_and_Newer,0,146,9,1490,1304,1995
315000,2063,Attchd,3,815,Pave,AllPub,0,Northridge,0,Very_Good,10750,0,One_Story_1946_and_Newer_All_Styles,0,56,7,2063,0,1994
260000,2061,Attchd,2,647,Pave,AllPub,0,Northridge,0,Good,9085,79,Two_Story_1946_and_Newer,0,102,7,1094,967,1995
244600,NA,Attchd,3,898,Pave,AllPub,0,Somerset,0,Very_Good,9612,74,One_Story_1946_and_Newer_All_Styles,0,150,6,1468,0,2008
257500,1658,Attchd,3,726,Pave,AllPub,0,Somerset,0,Very_Good,10206,78,One_Story_1946_and_Newer_All_Styles,0,44,7,1658,0,2008
468000,2490,Attchd,3,795,Pave,AllPub,0,Somerset,0,Excellent,11128,85,One_Story_1946_and_Newer_All_Styles,0,226,9,2490,0,2005
208300,1218,Attchd,2,676,Pave,AllPub,0,Somerset,0,Above_Average,7862,75,One_Story_1946_and_Newer_All_Styles,0,102,4,1218,0,2009
250000,1530,Attchd,3,984,Pave,AllPub,0,Somerset,0,Excellent,12606,112,One_Story_1946_and_Newer_All_Styles,0,136,7,1530,0,2007
370878,1766,Attchd,3,478,Pave,AllPub,0,Somerset,0,Excellent,9187,85,One_Story_1946_and_Newer_All_Styles,0,130,7,1766,0,2009
238500,1448,Attchd,2,692,Pave,AllPub,0,Somerset,0,Very_Good,7500,75,One_Story_1946_and_Newer_All_Styles,0,140,6,1448,0,2006
234500,1553,Attchd,2,588,Pave,AllPub,0,Somerset,0,Good,8736,68,One_Story_1946_and_Newer_All_Styles,0,88,6,1553,0,2003
209000,1653,Attchd,2,628,Pave,AllPub,0,Somerset,0,Good,8127,65,Two_Story_1946_and_Newer,0,45,6,812,841,2003
152000,1141,Detchd,2,484,Pave,AllPub,0,Sawyer_West,0,Good,7500,63,One_Story_1946_and_Newer_All_Styles,0,0,6,1141,0,2006
142000,1114,No_Garage,0,0,Pave,AllPub,0,Sawyer_West,0,Average,13072,63,One_Story_1946_and_Newer_All_Styles,0,39,6,1114,0,2004
220000,2122,Attchd,2,559,Pave,AllPub,0,Sawyer_West,0,Good,11492,43,Two_Story_1946_and_Newer,0,74,8,913,1209,1996
189000,1434,Attchd,2,527,Pave,AllPub,0,Sawyer_West,0,Good,8529,65,One_Story_1946_and_Newer_All_Styles,0,39,6,1434,0,2001
162000,1400,Attchd,2,465,Pave,AllPub,0,Sawyer_West,0,Above_Average,10274,0,Two_Story_1946_and_Newer,0,48,6,698,702,1986
110000,980,Detchd,2,400,Pave,AllPub,0,Sawyer,0,Average,9750,63,One_Story_1946_and_Newer_All_Styles,0,28,5,980,0,1962
141000,864,Detchd,2,732,Pave,AllPub,0,Sawyer,0,Average,8499,0,One_Story_1946_and_Newer_All_Styles,0,312,5,864,0,1961
129000,912,Attchd,1,300,Pave,AllPub,0,Sawyer,0,Average,7791,0,One_Story_1946_and_Newer_All_Styles,0,0,6,912,0,1963
62383,864,Detchd,1,360,Pave,AllPub,0,Sawyer,0,Average,8281,60,One_Story_1946_and_Newer_All_Styles,0,0,5,864,0,1965
180000,1512,Detchd,2,440,Pave,AllPub,0,Somerset,0,Above_Average,2998,34,Two_Story_PUD_1946_and_Newer,0,32,4,756,756,2000
156000,1452,Detchd,2,506,Pave,AllPub,0,Somerset,0,Good,3768,35,Two_Story_PUD_1946_and_Newer,0,34,6,713,739,1999
318750,1694,Attchd,2,642,Pave,AllPub,0,Veenker,0,Very_Good,14694,0,One_Story_1946_and_Newer_All_Styles,0,120,5,1694,0,1977
154000,1556,Attchd,2,441,Pave,AllPub,0,Northwest_Ames,0,Above_Average,11700,78,Two_Story_1946_and_Newer,0,0,8,829,727,1968
185000,1442,Attchd,2,615,Pave,AllPub,0,Northwest_Ames,0,Above_Average,11717,0,One_Story_1946_and_Newer_All_Styles,0,0,6,1442,0,1970
200000,2090,Attchd,2,484,Pave,AllPub,0,Northwest_Ames,0,Good,10382,0,Two_Story_1946_and_Newer,350,204,7,1107,983,1973
162000,1395,Attchd,2,497,Pave,AllPub,0,Northwest_Ames,0,Above_Average,12936,0,Two_Story_1946_and_Newer,0,116,6,735,660,1972
117500,925,Detchd,1,429,Pave,AllPub,0,North_Ames,0,Average,9100,70,One_Story_1946_and_Newer_All_Styles,0,0,5,925,0,1965
127500,864,Detchd,1,300,Pave,AllPub,0,North_Ames,0,Above_Average,9100,70,One_Story_1946_and_Newer_All_Styles,450,0,5,864,0,1959
140000,1362,Attchd,3,768,Pave,AllPub,0,North_Ames,0,Below_Average,9450,0,One_Story_1946_and_Newer_All_Styles,0,0,6,1362,0,1957
124500,1041,Attchd,1,270,Pave,AllPub,0,North_Ames,0,Average,9600,80,One_Story_1946_and_Newer_All_Styles,0,88,6,1041,0,1959
175000,1691,Attchd,2,550,Pave,AllPub,0,North_Ames,0,Above_Average,9900,90,One_Story_1946_and_Newer_All_Styles,0,67,5,1691,0,1967
128900,1050,Attchd,1,338,Pave,AllPub,0,North_Ames,0,Average,9600,80,One_Story_1946_and_Newer_All_Styles,0,0,5,1050,0,1956
147000,1113,Attchd,1,264,Pave,AllPub,0,North_Ames,0,Average,9600,80,One_Story_1946_and_Newer_All_Styles,0,80,5,1113,0,1950
187500,1453,Attchd,2,530,Pave,AllPub,0,North_Ames,288,Above_Average,10573,92,One_Story_1946_and_Newer_All_Styles,0,49,6,1453,0,1961
159000,1394,Attchd,2,514,Pave,AllPub,0,North_Ames,185,Above_Average,9500,0,One_Story_1946_and_Newer_All_Styles,0,76,6,1394,0,1963
256000,1567,Attchd,2,542,Pave,AllPub,0,North_Ames,342,Above_Average,14695,80,One_Story_1946_and_Newer_All_Styles,0,110,5,1567,0,1966
205000,1986,Attchd,2,486,Pave,AllPub,0,North_Ames,189,Good,13600,85,Two_Story_1946_and_Newer,0,42,7,1186,800,1965
110000,1392,Attchd,2,576,Pave,AllPub,0,North_Ames,0,Above_Average,13560,120,One_Story_1946_and_Newer_All_Styles,0,0,5,1392,0,1968
104900,1738,Attchd,1,368,Pave,AllPub,0,North_Ames,0,Below_Average,12513,0,One_and_Half_Story_Finished_All_Ages,0,0,7,1281,457,1920
149500,988,Attchd,1,297,Pave,AllPub,0,North_Ames,0,Above_Average,9240,66,One_Story_1946_and_Newer_All_Styles,0,0,6,988,0,1959
153000,1382,Attchd,1,350,Pave,AllPub,0,North_Ames,0,Average,8750,70,One_Story_1946_and_Newer_All_Styles,0,0,6,1382,0,1955
144000,1200,Attchd,1,294,Pave,AllPub,0,North_Ames,0,Below_Average,10400,80,One_Story_1946_and_Newer_All_Styles,0,189,6,1200,0,1956
